x,y,z,device_id,pet_id,user_id
-0.486,0.201,-0.874,2,2,3
-0.486,0.203,-0.874,2,2,3
-0.487,0.202,-0.871,2,2,3
-0.486,0.202,-0.874,2,2,3
-0.488,0.201,-0.876,2,2,3
-0.487,0.203,-0.878,2,2,3
-0.487,0.202,-0.875,2,2,3
-0.487,0.203,-0.876,2,2,3
-0.486,0.202,-0.875,2,2,3
-0.486,0.203,-0.874,2,2,3
-0.488,0.202,-0.875,2,2,3
-0.487,0.201,-0.874,2,2,3
-0.488,0.203,-0.874,2,2,3
-0.487,0.203,-0.876,2,2,3
-0.488,0.203,-0.872,2,2,3
-0.486,0.203,-0.875,2,2,3
-0.487,0.202,-0.874,2,2,3
-0.486,0.201,-0.873,2,2,3
-0.487,0.203,-0.874,2,2,3
-0.487,0.201,-0.875,2,2,3
-0.486,0.202,-0.873,2,2,3
-0.486,0.202,-0.875,2,2,3
-0.487,0.202,-0.875,2,2,3
-0.488,0.203,-0.876,2,2,3
-0.487,0.202,-0.872,2,2,3
-0.487,0.202,-0.875,2,2,3
-0.486,0.202,-0.874,2,2,3
-0.487,0.202,-0.872,2,2,3
-0.487,0.203,-0.874,2,2,3
-0.488,0.202,-0.875,2,2,3
-0.486,0.203,-0.876,2,2,3
-0.486,0.202,-0.875,2,2,3
-0.485,0.202,-0.874,2,2,3
-0.488,0.201,-0.872,2,2,3
-0.488,0.202,-0.874,2,2,3
-0.487,0.204,-0.875,2,2,3
-0.487,0.203,-0.877,2,2,3
-0.487,0.203,-0.875,2,2,3
-0.487,0.202,-0.876,2,2,3
-0.488,0.203,-0.874,2,2,3
-0.487,0.203,-0.875,2,2,3
-0.487,0.202,-0.872,2,2,3
-0.487,0.201,-0.874,2,2,3
-0.488,0.202,-0.874,2,2,3
-0.487,0.202,-0.873,2,2,3
-0.486,0.2,-0.87,2,2,3
-0.487,0.201,-0.874,2,2,3
-0.487,0.201,-0.877,2,2,3
-0.487,0.201,-0.875,2,2,3
-0.488,0.203,-0.875,2,2,3
-0.487,0.202,-0.874,2,2,3
-0.486,0.202,-0.877,2,2,3
-0.486,0.201,-0.874,2,2,3
-0.487,0.201,-0.874,2,2,3
-0.487,0.201,-0.875,2,2,3
-0.487,0.201,-0.875,2,2,3
-0.487,0.203,-0.876,2,2,3
-0.486,0.202,-0.873,2,2,3
-0.486,0.202,-0.874,2,2,3
-0.486,0.201,-0.874,2,2,3
-0.489,0.203,-0.87,2,2,3
-0.487,0.202,-0.874,2,2,3
-0.486,0.202,-0.873,2,2,3
-0.487,0.201,-0.874,2,2,3
-0.488,0.203,-0.875,2,2,3
-0.488,0.203,-0.876,2,2,3
-0.487,0.202,-0.875,2,2,3
-0.486,0.202,-0.875,2,2,3
-0.486,0.202,-0.873,2,2,3
-0.487,0.202,-0.875,2,2,3
-0.487,0.203,-0.874,2,2,3
-0.487,0.203,-0.874,2,2,3
-0.487,0.202,-0.874,2,2,3
-0.488,0.202,-0.875,2,2,3
-0.487,0.203,-0.875,2,2,3
-0.488,0.203,-0.874,2,2,3
-0.487,0.203,-0.875,2,2,3
-0.488,0.204,-0.873,2,2,3
-0.487,0.202,-0.874,2,2,3
-0.487,0.203,-0.874,2,2,3
-0.487,0.202,-0.874,2,2,3
-0.487,0.204,-0.876,2,2,3
-0.487,0.203,-0.869,2,2,3
-0.486,0.202,-0.874,2,2,3
-0.488,0.203,-0.874,2,2,3
-0.488,0.202,-0.875,2,2,3
-0.487,0.203,-0.873,2,2,3
-0.488,0.202,-0.875,2,2,3
-0.487,0.202,-0.874,2,2,3
-0.486,0.202,-0.875,2,2,3
-0.487,0.202,-0.875,2,2,3
-0.488,0.203,-0.875,2,2,3
-0.487,0.202,-0.872,2,2,3
-0.488,0.202,-0.875,2,2,3
-0.488,0.202,-0.878,2,2,3
-0.487,0.203,-0.875,2,2,3
-0.487,0.205,-0.876,2,2,3
-0.487,0.203,-0.875,2,2,3
-0.488,0.204,-0.874,2,2,3
-0.487,0.203,-0.876,2,2,3
-0.487,0.202,-0.875,2,2,3
-0.487,0.202,-0.873,2,2,3
-0.488,0.202,-0.874,2,2,3
-0.487,0.203,-0.874,2,2,3
-0.487,0.203,-0.874,2,2,3
-0.487,0.202,-0.875,2,2,3
-0.487,0.202,-0.874,2,2,3
-0.487,0.201,-0.876,2,2,3
-0.487,0.202,-0.874,2,2,3
-0.487,0.204,-0.874,2,2,3
-0.488,0.201,-0.874,2,2,3
-0.487,0.202,-0.875,2,2,3
-0.488,0.203,-0.871,2,2,3
-0.487,0.204,-0.874,2,2,3
-0.486,0.201,-0.875,2,2,3
-0.489,0.2,-0.871,2,2,3
-0.487,0.201,-0.874,2,2,3
-0.486,0.202,-0.872,2,2,3
-0.488,0.202,-0.874,2,2,3
-0.487,0.202,-0.874,2,2,3
